Address,Type,Return,Description,Progress
$80C01E,Code,RTL,,
$80C1CC,Code,RTS,,
$80C1ED,Code,RTL,,
$80C213,Code,RTL,,
$80C216,Code,RTL,,
$80C222,Code,RTL,,
$80C225,Code,RTL,,
$80C239,Code,RTL,,
$80C256,Code,RTL,,
$80C268,Code,RTL,,
$80C26D,Code,RTL,,
$80C272,Code,RTL,,
$80C277,Code,RTL,,
$80C27C,Code,RTL,,
$80C27F,Code,RTL,,
$80C2B5,Code,RTL,,
$80C2BA,Code,RTL,,
$80C2BF,Code,RTL,,
$80C2C4,Code,RTL,,
$80C2C9,Code,RTL,,
$80C2CC,Code,RTL,,
$80C2DC,Code,RTL,,
$80C2E4,Code,RTL,,
$80C2F3,Code,RTL,,
$80C302,Code,RTL,,
$80C305,Code,RTL,,
$80C316,Code,RTL,,
$80C348,Code,RTL,,
$80C374,Code,RTL,,
$80C405,Code,RTS,,
$80C410,Code,RTS,,
$80C4C0,Code,RTS,,
$80C4DB,Code,RTS,,
$80C55C,Code,RTS,,
$80C567,Code,RTS,,
$80C642,Code,RTS,,
$80C6DF,Code,RTL,,
$80C731,Code,RTS,,
$80C74C,Code,RTL,,
$80C79F,Code,RTL,,
$80C7A7,Code,RTL,,
$80C873,Code,RTL,,
$80C876,Code,RTL,,
$80C885,Code,RTL,,
$80C964,Code,RTL,,
$80C99E,Code,RTL,,
$80CA1A,Code,RTL,,
$80CA5E,Code,RTL,,
$80CA7D,Code,RTL,,
$80CA8C,Code,RTL,,
$80CA94,Code,RTL,,
$80CAA4,Code,RTL,,
$80CADB,Code,RTL,,
$80CC03,Code,RTL,,
$80CC75,Code,RTL,,
$80CCA7,Code,RTL,,
$80CCF5,Code,RTL,,
$80CD03,Code,RTL,,
$80CE2C,Code,RTL,,
$80CE75,Code,RTL,,
$80CF06,Code,RTL,,
$80CF91,Code,RTS,,
$80CFFD,Code,RTL,,
$80D05B,Code,RTS,,
$80D074,Code,RTL,,
$80D1AC,Code,RTS,,
$80D306,Code,RTL,,
$80D30A,Code,RTL,,
$80D31B,Code,RTL,,
$80D4C9,Code,RTL,,
$80D50D,Code,RTL,,
$80D52D,Code,RTL,,
$80D53F,Code,RTL,,
$80D553,Code,RTL,,
$80D55E,Code,RTL,,
$80D56C,Code,RTS,,
$80D571,Code,RTL,,
$80D7A5,Code,RTL,,
$80D7D8,Code,RTS,,
$80D866,Code,RTS,,
$80D8E6,Code,RTS,,
$80D9D3,Code,RTL,,
$80DBC8,Code,RTS,,
$80DBF4,Code,RTS,,
$80DC20,Code,RTS,,
$80DC9D,Code,RTS,,
$80DCF3,Code,RTS,,
$80DDF3,Code,RTS,,
$80DDF7,Code,RTS,,
$80DDFB,Code,RTS,,
$80DE2A,Code,RTS,,
$80DE60,Code,RTS,,
$80DE8F,Code,RTS,,
$80DEC5,Code,RTS,,
$80DEDF,Code,RTS,,
$80DEFF,Code,RTS,,
$80DF1A,Code,RTL,,
$80E10F,Code,RTS,,
$80E156,Code,RTS,,
$80E1AC,Code,RTS,,
$80E3E5,Code,RTS,,
$80E415,Code,RTS,,
$80E443,Code,RTS,,
$80E45B,Code,RTS,,
$80E478,Code,RTS,,
$80E483,Code,RTS,,
$80E4BB,Code,RTL,,
$80E5BF,Code,RTL,,
$80E826,Code,RTS,,
$80E854,Code,RTS,,
$80E972,Code,RTS,,
$80E994,Code,RTL,,
$80E9D9,Code,RTL,,
$80E9E7,Code,RTL,,
$80E9EA,Code,RTL,,
$80EA5B,Code,RTL,,
$80EB63,Code,RTL,,
$80EB99,Code,RTL,,
$80EC00,Code,RTL,,
$80EC2B,Code,RTS,,
$80EC4D,Code,RTL,,
$80EC64,Code,RTL,,
$80EC8F,Code,RTS,,
$80ED5C,Code,RTL,,
$80EDD2,Code,RTL,,
$80EDFA,Code,RTS,,
$80EFBC,Code,RTS,,
$80EFDE,Code,RTS,,
$80F0C2,Code,RTS,,
$80F177,Code,RTS,,
$80F28A,Code,RTS,,
$80F35C,Code,RTS,,
$80F36B,Code,RTS,,
$80F379,Code,RTS,,
$80F387,Code,RTS,,
$80F395,Code,RTS,,
$80F3A3,Code,RTS,,
$80F3B1,Code,RTS,,
$80F403,Code,RTS,,
$80F444,Code,RTS,,
$80F485,Code,RTS,,
$80F4CE,Code,RTS,,
$80F4E7,Code,RTS,,
$80F580,Code,RTS,,
$80F5C9,Code,RTS,,
$80F5E5,Code,RTS,,
$80F601,Code,RTS,,
$80F632,Code,RTS,,
$80F642,Code,RTS,,
$80F64E,Code,RTS,,
$80F75C,Code,RTS,,
$80F7B0,Code,RTS,,
$80F804,Code,RTS,,
$80F82C,Code,RTS,,
$80F854,Code,RTS,,
$80F8A3,Code,RTS,,
$80F939,Code,RTS,,
$80F97C,Code,RTS,,
$80F998,Code,RTS,,
$80F9FD,Code,RTS,,
$80FA0F,Code,RTL,,
$80FA13,Code,RTS,,
$80FA1F,Code,RTS,,
$80FA39,Code,RTS,,
$80FACF,Code,RTS,,
$80FB10,Code,RTL,,
$80FB14,Code,RTS,,
$80FB29,Code,RTS,,
$80FB51,Code,RTL,,
$80FF90,Code,Never,RESET entrypoint,
$80FF97,Code,RTI,IRQ entrypoint,
$80FF9B,Code,RTI,NMI entrypoint,
$818000,?,?,,
$828000,Code,RTL,,
$82847E,Code,RTL,,
$8284D0,Code,RTL,,
$828500,Code,RTL,,
$828530,Code,RTL,,
$828543,Code,RTL,,
$828559,Code,RTL,,
$828572,Code,RTL,,
$828575,Code,RTL,,
$8285CE,Code,RTS,,
$8285F8,Code,RTL,,
$82860A,Code,RTS,,
$82865C,Code,RTS,,
$828686,Code,RTS,,
$8286D0,Code,RTS,,
$828784,Code,RTS,,
$8288AB,Code,RTS,,
$82895F,Code,RTL,,
$828987,Code,RTL,,
$8289A3,Code,RTL,,
$8289D9,Code,RTL,,
$8289ED,Code,RTS,,
$828AC3,Code,RTL,,
$828ACB,Code,RTL,,
$828AD9,Code,RTL,,
$828AEC,Code,RTL,,
$828B66,Code,RTS,,
$828B74,Code,RTL,,
